date,value
2020-06-08T02:28:43,42594709
2020-06-08T02:29:48,42731574
2020-06-08T02:30:53,42565379
2020-06-08T02:31:58,42516771
2020-06-08T02:33:04,42594471
2020-06-08T02:34:11,42561418
2020-06-08T02:35:16,42555207
2020-06-08T02:36:21,42572776
2020-06-08T02:37:26,42309700
2020-06-08T02:38:31,42479095
2020-06-08T02:39:36,42491117
2020-06-08T02:40:41,42473143
2020-06-08T02:41:46,42460854
2020-06-08T02:42:51,42483796
2020-06-08T02:43:56,42433304
2020-06-08T02:45:01,42483549
2020-06-08T02:46:06,42504243
2020-06-08T02:47:11,42481330
2020-06-08T02:48:16,42574010
2020-06-08T02:49:21,42593736
2020-06-08T02:50:26,42439356
2020-06-08T02:51:31,42503506
2020-06-08T02:52:36,42501534
2020-06-08T02:53:41,42488713
2020-06-08T02:54:46,42468767
2020-06-08T02:55:51,42473929
2020-06-08T02:56:56,42470486
2020-06-08T02:58:01,42456936
2020-06-08T02:59:06,42502247
2020-06-08T03:00:11,42470000
2020-06-08T03:01:16,42518539
2020-06-08T03:02:21,42520757
2020-06-08T03:03:26,42506210
2020-06-08T03:04:31,42505721
2020-06-08T03:05:36,42538257
2020-06-08T03:06:41,42544420
2020-06-08T03:07:46,42772026
2020-06-08T03:08:51,42670073
2020-06-08T03:09:56,42636820
2020-06-08T03:11:01,42513115
2020-06-08T03:12:06,42504492
2020-06-08T03:13:11,42626731
2020-06-08T03:14:16,42581143
2020-06-08T03:15:21,42354060
2020-06-08T03:16:26,42529622
2020-06-08T03:17:31,42552515
2020-06-08T03:18:36,42545159
2020-06-08T03:19:41,42570550
2020-06-08T03:20:46,42547115
2020-06-08T03:21:51,42523210
2020-06-08T03:22:56,42503978
2020-06-08T03:24:01,42581653
2020-06-08T03:25:06,42508187
2020-06-08T03:26:11,42499811
2020-06-08T03:27:16,42499808
2020-06-08T03:28:21,42464090
2020-06-08T03:29:26,42459408
2020-06-08T03:30:31,42637082
2020-06-08T03:31:36,42593964
2020-06-08T03:32:41,42583121
2020-06-08T03:33:46,42578447
2020-06-08T03:34:50,42579926
2020-06-08T03:35:56,42541463
2020-06-08T03:37:01,42608270
2020-06-08T03:38:06,42572950
2020-06-08T03:39:11,42603988
2020-06-08T03:40:16,42567568
2020-06-08T03:41:21,42591475
2020-06-08T03:42:26,42586786
2020-06-08T03:43:31,42593693
2020-06-08T03:44:36,42627959
2020-06-08T03:45:41,42530825
2020-06-08T03:46:46,42578641
2020-06-08T03:47:51,42604304
2020-06-08T03:48:56,42602592
2020-06-08T03:50:01,42580876
2020-06-08T03:51:06,42486506
2020-06-08T03:52:11,42609512
2020-06-08T03:53:16,42590516
2020-06-08T03:54:21,42580647
2020-06-08T03:55:26,42599621
2020-06-08T03:56:32,42591504
2020-06-08T03:57:37,42611708
2020-06-08T03:58:42,42644784
2020-06-08T03:59:47,42612713
2020-06-08T04:00:52,42618398
2020-06-08T04:01:57,42593248
2020-06-08T04:03:02,42654190
2020-06-08T04:04:07,42614464
2020-06-08T04:05:12,42433962
2020-06-08T04:06:17,42454472
2020-06-08T04:07:22,42487943
2020-06-08T04:08:27,42462449
2020-06-08T04:09:32,42437832
2020-06-08T04:10:37,42587566
2020-06-08T04:11:42,42315083
2020-06-08T04:12:48,42703088
2020-06-08T04:13:53,42668211
2020-06-08T04:14:58,42669748
2020-06-08T04:16:03,42645984
2020-06-08T04:17:08,42543207
2020-06-08T04:18:13,42580055
2020-06-08T04:19:18,42634420
2020-06-08T04:20:22,42659605
2020-06-08T04:21:27,42688003
2020-06-08T04:22:32,42593627
2020-06-08T04:23:38,42696660
2020-06-08T04:24:43,42550955
2020-06-08T04:25:48,42628009
2020-06-08T04:26:53,42586090
2020-06-08T04:27:58,42595952
2020-06-08T04:29:03,42593245
2020-06-08T04:30:08,42629239
2020-06-08T04:31:13,42597667
2020-06-08T04:32:18,42601625
2020-06-08T04:33:23,42619893
2020-06-08T04:34:28,42569039
2020-06-08T04:35:33,42732730
2020-06-08T04:36:38,42648012
2020-06-08T04:37:43,42634416
2020-06-08T04:38:48,42492077
2020-06-08T04:39:54,42533796
2020-06-08T04:40:59,42584367
2020-06-08T04:42:04,42650718
2020-06-08T04:43:09,42569324
2020-06-08T04:44:14,42547872
2020-06-08T04:45:19,42583130
2020-06-08T04:46:24,42576470
2020-06-08T04:47:29,42617918
2020-06-08T04:48:34,42567347
2020-06-08T04:49:40,42571287
2020-06-08T04:50:45,42577460
2020-06-08T04:51:50,42618113
2020-06-08T04:52:56,42544914
2020-06-08T04:54:01,42557735
2020-06-08T04:55:06,42533575
2020-06-08T04:56:11,42475661
2020-06-08T04:57:16,42548364
2020-06-08T04:58:21,42540723
2020-06-08T04:59:26,42447509
2020-06-08T05:00:31,42571293
2020-06-08T05:01:36,42567595
2020-06-08T05:02:41,42545900
2020-06-08T05:03:46,42601136
2020-06-08T05:04:51,42585596
2020-06-08T05:05:56,42600388
2020-06-08T05:07:01,42596698
2020-06-08T05:08:07,42549093
2020-06-08T05:09:12,42506955
2020-06-08T05:10:17,42665737
2020-06-08T05:11:22,42617641
2020-06-08T05:12:27,42606502
2020-06-08T05:13:32,42577409
2020-06-08T05:14:37,42599339
2020-06-08T05:15:42,42612671
2020-06-08T05:16:47,42593627
2020-06-08T05:17:52,42608427
2020-06-08T05:18:57,42632459
2020-06-08T05:20:02,42552864
2020-06-08T05:21:07,42568387
2020-06-08T05:22:13,42785677
2020-06-08T05:23:18,42687579
2020-06-08T05:24:23,42634929
2020-06-08T05:25:28,42484023
2020-06-08T05:26:33,42514821
2020-06-08T05:27:38,42534288
2020-06-08T05:28:43,42641069
2020-06-08T05:29:48,42618889
2020-06-08T05:30:53,42625317
2020-06-08T05:31:59,42654674
2020-06-08T05:33:04,42662550
2020-06-08T05:34:09,42630481
2020-06-08T05:35:15,42649484
2020-06-08T05:36:20,42635167
2020-06-08T05:37:25,42624529
2020-06-08T05:38:30,42683194
