date,value
2020-06-08T02:28:44,4228080
2020-06-08T02:29:48,4228220
2020-06-08T02:30:53,4228350
2020-06-08T02:31:59,4227160
2020-06-08T02:33:05,4227880
2020-06-08T02:34:11,4227190
2020-06-08T02:35:16,4228610
2020-06-08T02:36:21,4228480
2020-06-08T02:37:26,4211560
2020-06-08T02:38:31,4210440
2020-06-08T02:39:36,4209970
2020-06-08T02:40:41,4210130
2020-06-08T02:41:46,4208800
2020-06-08T02:42:51,4211600
2020-06-08T02:43:56,4212910
2020-06-08T02:45:01,4213240
2020-06-08T02:46:06,4213500
2020-06-08T02:47:11,4213340
2020-06-08T02:48:16,4216950
2020-06-08T02:49:21,4216880
2020-06-08T02:50:26,4217210
2020-06-08T02:51:31,4218120
2020-06-08T02:52:36,4221870
2020-06-08T02:53:41,4221460
2020-06-08T02:54:46,4221230
2020-06-08T02:55:51,4221410
2020-06-08T02:56:56,4221690
2020-06-08T02:58:01,4222320
2020-06-08T02:59:06,4222620
2020-06-08T03:00:11,4223610
2020-06-08T03:01:16,4223140
2020-06-08T03:02:21,4223580
2020-06-08T03:03:26,4223570
2020-06-08T03:04:31,4228930
2020-06-08T03:05:36,4228890
2020-06-08T03:06:41,4228850
2020-06-08T03:07:46,4228820
2020-06-08T03:08:51,4228890
2020-06-08T03:09:56,4228900
2020-06-08T03:11:01,4228870
2020-06-08T03:12:06,4248930
2020-06-08T03:13:11,4248060
2020-06-08T03:14:16,4246750
2020-06-08T03:15:21,4245540
2020-06-08T03:16:26,4244830
2020-06-08T03:17:31,4244350
2020-06-08T03:18:36,4243420
2020-06-08T03:19:41,4240650
2020-06-08T03:20:46,4239480
2020-06-08T03:21:51,4240440
2020-06-08T03:22:56,4240830
2020-06-08T03:24:01,4235360
2020-06-08T03:25:06,4235350
2020-06-08T03:26:11,4234470
2020-06-08T03:27:16,4235310
2020-06-08T03:28:21,4235290
2020-06-08T03:29:26,4235410
2020-06-08T03:30:31,4235330
2020-06-08T03:31:36,4235300
2020-06-08T03:32:41,4235290
2020-06-08T03:33:46,4235290
2020-06-08T03:34:51,4235170
2020-06-08T03:35:56,4234330
2020-06-08T03:37:01,4233810
2020-06-08T03:38:06,4228530
2020-06-08T03:39:11,4232850
2020-06-08T03:40:16,4233450
2020-06-08T03:41:21,4233830
2020-06-08T03:42:26,4233840
2020-06-08T03:43:31,4233770
2020-06-08T03:44:36,4230040
2020-06-08T03:45:41,4230520
2020-06-08T03:46:46,4230600
2020-06-08T03:47:51,4231210
2020-06-08T03:48:56,4231180
2020-06-08T03:50:01,4233290
2020-06-08T03:51:06,4233290
2020-06-08T03:52:11,4232380
2020-06-08T03:53:16,4233060
2020-06-08T03:54:21,4233760
2020-06-08T03:55:26,4230840
2020-06-08T03:56:32,4232830
2020-06-08T03:57:37,4244860
2020-06-08T03:58:42,4245060
2020-06-08T03:59:47,4253770
2020-06-08T04:00:52,4253870
2020-06-08T04:01:57,4253870
2020-06-08T04:03:02,4254400
