date,value
2020-06-08T02:28:43,4478
2020-06-08T02:29:48,4482
2020-06-08T02:30:53,4471
2020-06-08T02:31:58,4487
2020-06-08T02:33:04,4481
2020-06-08T02:34:11,4480
2020-06-08T02:35:16,4481
2020-06-08T02:36:21,4475
2020-06-08T02:37:26,4472
2020-06-08T02:38:31,4473
2020-06-08T02:39:36,4468
2020-06-08T02:40:41,4475
2020-06-08T02:41:46,4488
2020-06-08T02:42:51,4517
2020-06-08T02:43:56,4473
2020-06-08T02:45:01,4471
2020-06-08T02:46:06,4472
2020-06-08T02:47:11,4475
2020-06-08T02:48:16,4481
2020-06-08T02:49:21,4477
2020-06-08T02:50:26,4478
2020-06-08T02:51:31,4477
2020-06-08T02:52:36,4471
2020-06-08T02:53:41,4474
2020-06-08T02:54:46,4473
2020-06-08T02:55:51,4474
2020-06-08T02:56:56,4475
2020-06-08T02:58:01,4478
2020-06-08T02:59:06,4480
2020-06-08T03:00:11,4481
2020-06-08T03:01:16,4481
2020-06-08T03:02:21,4481
2020-06-08T03:03:26,4478
2020-06-08T03:04:31,4480
2020-06-08T03:05:36,4480
2020-06-08T03:06:41,4480
2020-06-08T03:07:46,4479
2020-06-08T03:08:51,4479
2020-06-08T03:09:56,4477
2020-06-08T03:11:01,4478
2020-06-08T03:12:06,4527
2020-06-08T03:13:11,4507
2020-06-08T03:14:16,4477
2020-06-08T03:15:21,4481
2020-06-08T03:16:26,4481
2020-06-08T03:17:31,4479
2020-06-08T03:18:36,4473
2020-06-08T03:19:41,4479
2020-06-08T03:20:46,4499
2020-06-08T03:21:51,4476
2020-06-08T03:22:56,4480
2020-06-08T03:24:01,4481
2020-06-08T03:25:06,4478
2020-06-08T03:26:11,4487
2020-06-08T03:27:16,4481
2020-06-08T03:28:21,4497
2020-06-08T03:29:26,4500
2020-06-08T03:30:31,4499
2020-06-08T03:31:36,4498
2020-06-08T03:32:41,4498
2020-06-08T03:33:46,4500
2020-06-08T03:34:50,4504
2020-06-08T03:35:56,4502
2020-06-08T03:37:01,4505
2020-06-08T03:38:06,4457
2020-06-08T03:39:11,4511
2020-06-08T03:40:16,4506
2020-06-08T03:41:21,4505
2020-06-08T03:42:26,4506
2020-06-08T03:43:31,4506
2020-06-08T03:44:36,4506
2020-06-08T03:45:41,4506
2020-06-08T03:46:46,4510
2020-06-08T03:47:51,4514
2020-06-08T03:48:56,4514
2020-06-08T03:50:01,4515
2020-06-08T03:51:06,4514
2020-06-08T03:52:11,4531
2020-06-08T03:53:16,4519
2020-06-08T03:54:21,4526
2020-06-08T03:55:26,4446
2020-06-08T03:56:32,4446
2020-06-08T03:57:37,4447
2020-06-08T03:58:42,4445
2020-06-08T03:59:47,4448
2020-06-08T04:00:52,4446
2020-06-08T04:01:57,4445
2020-06-08T04:03:02,4446
2020-06-08T04:04:07,4445
2020-06-08T04:05:12,4446
2020-06-08T04:06:17,4447
2020-06-08T04:07:22,4448
2020-06-08T04:08:27,4445
2020-06-08T04:09:32,4440
2020-06-08T04:10:37,4442
2020-06-08T04:11:42,4441
2020-06-08T04:12:48,4441
2020-06-08T04:13:53,4445
