date,value
2020-06-08T02:28:43,2494327
2020-06-08T02:29:48,2497817
2020-06-08T02:30:53,2498158
2020-06-08T02:31:58,2497279
2020-06-08T02:33:04,2505366
2020-06-08T02:34:11,2499850
2020-06-08T02:35:16,2503109
2020-06-08T02:36:21,2495797
2020-06-08T02:37:26,2510650
2020-06-08T02:38:31,2506092
2020-06-08T02:39:36,2491609
2020-06-08T02:40:41,2491075
2020-06-08T02:41:46,2491185
2020-06-08T02:42:51,2495720
2020-06-08T02:43:56,2492312
2020-06-08T02:45:01,2490264
2020-06-08T02:46:06,2495750
2020-06-08T02:47:11,2491874
2020-06-08T02:48:16,2489500
2020-06-08T02:49:21,2492531
2020-06-08T02:50:26,2488406
2020-06-08T02:51:31,2489296
2020-06-08T02:52:36,2492218
2020-06-08T02:53:41,2492342
2020-06-08T02:54:46,2488531
2020-06-08T02:55:51,2491295
2020-06-08T02:56:56,2493263
2020-06-08T02:58:01,2489154
2020-06-08T02:59:06,2493778
2020-06-08T03:00:11,2494407
2020-06-08T03:01:16,2493781
2020-06-08T03:02:21,2493265
2020-06-08T03:03:26,2491639
2020-06-08T03:04:31,2492452
2020-06-08T03:05:36,2492468
2020-06-08T03:06:41,2491499
2020-06-08T03:07:46,2490372
2020-06-08T03:08:51,2492546
2020-06-08T03:09:56,2489997
2020-06-08T03:11:01,2498171
2020-06-08T03:12:06,2495283
2020-06-08T03:13:11,2493954
2020-06-08T03:14:16,2496957
2020-06-08T03:15:21,2481304
2020-06-08T03:16:26,2488175
2020-06-08T03:17:31,2491134
2020-06-08T03:18:36,2494171
2020-06-08T03:19:41,2500901
2020-06-08T03:20:46,2481225
2020-06-08T03:21:51,2486941
2020-06-08T03:22:56,2502357
2020-06-08T03:24:01,2500917
2020-06-08T03:25:06,2500166
2020-06-08T03:26:11,2499931
2020-06-08T03:27:16,2500056
2020-06-08T03:28:21,2468664
2020-06-08T03:29:26,2471594
2020-06-08T03:30:31,2473914
2020-06-08T03:31:36,2475438
2020-06-08T03:32:41,2476283
2020-06-08T03:33:46,2476612
2020-06-08T03:34:50,2493900
2020-06-08T03:35:56,2502593
2020-06-08T03:37:01,2500917
2020-06-08T03:38:06,2433089
2020-06-08T03:39:11,2455525
2020-06-08T03:40:16,2455142
2020-06-08T03:41:21,2459637
2020-06-08T03:42:26,2459576
2020-06-08T03:43:31,2461979
2020-06-08T03:44:36,2469147
2020-06-08T03:45:41,2470321
2020-06-08T03:46:46,2470931
2020-06-08T03:47:51,2478549
2020-06-08T03:48:56,2480978
2020-06-08T03:50:01,2480660
2020-06-08T03:51:06,2484017
2020-06-08T03:52:11,2487825
2020-06-08T03:53:16,2491127
2020-06-08T03:54:21,2489101
2020-06-08T03:55:26,2492222
2020-06-08T03:56:32,2492833
2020-06-08T03:57:37,2492335
2020-06-08T03:58:42,2493679
2020-06-08T03:59:47,2497298
2020-06-08T04:00:52,2501149
2020-06-08T04:01:57,2503924
2020-06-08T04:03:02,2506589
2020-06-08T04:04:07,2505930
2020-06-08T04:05:12,2509098
2020-06-08T04:06:17,2502010
2020-06-08T04:07:22,2505271
2020-06-08T04:08:27,2503925
2020-06-08T04:09:32,2497409
2020-06-08T04:10:37,2499038
2020-06-08T04:11:42,2503497
2020-06-08T04:12:48,2495252
2020-06-08T04:13:53,2508732
2020-06-08T04:14:58,2505409
2020-06-08T04:16:03,2489899
2020-06-08T04:17:08,2498271
2020-06-08T04:18:13,2504014
2020-06-08T04:19:18,2502373
2020-06-08T04:20:22,2503467
2020-06-08T04:21:27,2503846
2020-06-08T04:22:32,2506745
2020-06-08T04:23:37,2480884
2020-06-08T04:24:42,2484972
2020-06-08T04:25:48,2493726
2020-06-08T04:26:53,2503188
2020-06-08T04:27:58,2504332
2020-06-08T04:29:03,2504801
2020-06-08T04:30:08,2511691
2020-06-08T04:31:13,2509624
2020-06-08T04:32:18,2508309
2020-06-08T04:33:23,2502951
2020-06-08T04:34:28,2503611
2020-06-08T04:35:33,2499961
2020-06-08T04:36:38,2501089
2020-06-08T04:37:43,2500980
2020-06-08T04:38:48,2432895
2020-06-08T04:39:54,2432752
2020-06-08T04:40:59,2437111
2020-06-08T04:42:04,2436924
2020-06-08T04:43:09,2437963
2020-06-08T04:44:14,2437060
2020-06-08T04:45:19,2438244
2020-06-08T04:46:24,2439648
2020-06-08T04:47:29,2440582
2020-06-08T04:48:34,2441993
2020-06-08T04:49:40,2447576
2020-06-08T04:50:45,2447001
2020-06-08T04:51:50,2448354
2020-06-08T04:52:56,2451268
2020-06-08T04:54:01,2465392
2020-06-08T04:55:06,2466002
2020-06-08T04:56:11,2468794
2020-06-08T04:57:16,2468783
2020-06-08T04:58:21,2470857
2020-06-08T04:59:26,2473295
2020-06-08T05:00:31,2536092
2020-06-08T05:01:36,2525636
2020-06-08T05:02:41,2525915
2020-06-08T05:03:46,2524979
2020-06-08T05:04:51,2524135
2020-06-08T05:05:56,2524135
2020-06-08T05:07:01,2521766
2020-06-08T05:08:07,2516445
2020-06-08T05:09:12,2516982
2020-06-08T05:10:17,2509806
2020-06-08T05:11:22,2511458
2020-06-08T05:12:27,2509591
2020-06-08T05:13:32,2483035
2020-06-08T05:14:37,2495126
2020-06-08T05:15:42,2492874
2020-06-08T05:16:47,2489327
2020-06-08T05:17:52,2490812
2020-06-08T05:18:57,2491402
2020-06-08T05:20:02,2489419
2020-06-08T05:21:07,2490028
2020-06-08T05:22:13,2490358
2020-06-08T05:23:18,2491040
2020-06-08T05:24:23,2489777
2020-06-08T05:25:28,2504460
2020-06-08T05:26:33,2505154
2020-06-08T05:27:38,2502464
2020-06-08T05:28:43,2385212
2020-06-08T05:29:48,2388728
2020-06-08T05:30:53,2394203
2020-06-08T05:31:59,2419275
2020-06-08T05:33:04,2426843
2020-06-08T05:34:09,2427782
2020-06-08T05:35:15,2426939
2020-06-08T05:36:19,2428207
2020-06-08T05:37:25,2429851
2020-06-08T05:38:30,2438432
2020-06-08T05:39:35,2439421
2020-06-08T05:40:41,2439132
2020-06-08T05:41:46,2440735
2020-06-08T05:42:51,2441609
2020-06-08T05:43:56,2468785
2020-06-08T05:45:01,2466168
2020-06-08T05:46:06,2490738
2020-06-08T05:47:11,2495055
2020-06-08T05:48:16,2495281
2020-06-08T05:49:21,2498050
2020-06-08T05:50:26,2498896
2020-06-08T05:51:31,2507184
2020-06-08T05:52:37,2500964
2020-06-08T05:53:42,2496329
2020-06-08T05:54:47,2500302
2020-06-08T05:55:52,2498067
2020-06-08T05:56:57,2502045
2020-06-08T05:58:02,2503124
2020-06-08T05:59:07,2509252
2020-06-08T06:00:12,2508940
2020-06-08T06:01:17,2500273
2020-06-08T06:02:23,2499883
2020-06-08T06:03:28,2498240
2020-06-08T06:04:33,2496926
2020-06-08T06:05:38,2498569
2020-06-08T06:06:42,2503890
2020-06-08T06:07:47,2501147
2020-06-08T06:08:52,2501053
2020-06-08T06:09:57,2491484
2020-06-08T06:11:02,2494798
2020-06-08T06:12:08,2493188
2020-06-08T06:13:13,2495171
2020-06-08T06:14:18,2492295
2020-06-08T06:15:23,2493359
2020-06-08T06:16:28,2491764
2020-06-08T06:17:33,2497063
2020-06-08T06:18:38,2491874
2020-06-08T06:19:43,2492625
2020-06-08T06:20:48,2492093
2020-06-08T06:21:53,2491765
2020-06-08T06:22:58,2493266
2020-06-08T06:24:03,2472866
2020-06-08T06:25:08,2475141
2020-06-08T06:26:13,2479253
2020-06-08T06:27:18,2490664
2020-06-08T06:28:23,2492448
2020-06-08T06:29:27,2497682
2020-06-08T06:30:32,2382318
2020-06-08T06:31:37,2407282
2020-06-08T06:32:42,2410842
2020-06-08T06:33:47,2409826
2020-06-08T06:34:52,2410014
2020-06-08T06:35:57,2410574
2020-06-08T06:37:02,2410574
2020-06-08T06:38:07,2410574
2020-06-08T06:39:12,2412898
2020-06-08T06:40:17,2413274
2020-06-08T06:41:22,2415244
2020-06-08T06:42:27,2416561
2020-06-08T06:43:32,2418206
2020-06-08T06:44:37,2424357
2020-06-08T06:45:42,2426610
2020-06-08T06:46:47,2425764
2020-06-08T06:47:52,2425764
2020-06-08T06:48:57,2423274
2020-06-08T06:50:02,2428433
2020-06-08T06:51:07,2436591
2020-06-08T06:52:12,2436157
2020-06-08T06:53:17,2469248
2020-06-08T06:54:22,2488054
2020-06-08T06:55:27,2489242
2020-06-08T06:56:32,2489899
2020-06-08T06:57:37,2494297
2020-06-08T06:58:42,2490419
2020-06-08T06:59:47,2474911
2020-06-08T07:00:52,2478572
2020-06-08T07:01:57,2481554
2020-06-08T07:03:02,2483409
2020-06-08T07:04:07,2488107
2020-06-08T07:05:12,2497063
2020-06-08T07:06:17,2488846
2020-06-08T07:07:22,2492537
2020-06-08T07:08:27,2491777
2020-06-08T07:09:32,2497876
2020-06-08T07:10:38,2489235
2020-06-08T07:11:43,2491188
2020-06-08T07:12:48,2487813
2020-06-08T07:13:54,2489342
2020-06-08T07:14:59,2663257
2020-06-08T07:16:04,2656202
2020-06-08T07:17:09,2654795
2020-06-08T07:18:15,2649248
2020-06-08T07:19:20,2638494
2020-06-08T07:20:25,2620243
2020-06-08T07:21:30,2620283
2020-06-08T07:22:35,2612298
2020-06-08T07:23:40,2578044
2020-06-08T07:24:45,2509095
2020-06-08T07:25:50,2500490
2020-06-08T07:26:55,2482952
2020-06-08T07:28:00,2482188
2020-06-08T07:29:05,2483247
2020-06-08T07:30:10,2484105
2020-06-08T07:31:15,2484916
2020-06-08T07:32:20,2484386
2020-06-08T07:33:24,2483720
2020-06-08T07:34:29,2482657
2020-06-08T07:35:34,2482563
2020-06-08T07:36:39,2478311
2020-06-08T07:37:44,2478592
2020-06-08T07:38:49,2479449
2020-06-08T07:39:54,2478940
2020-06-08T07:40:59,2478940
2020-06-08T07:42:05,2482581
2020-06-08T07:43:10,2481986
2020-06-08T07:44:15,2480660
2020-06-08T07:45:20,2480754
2020-06-08T07:46:26,2480754
2020-06-08T07:47:31,2480754
2020-06-08T07:48:36,2391900
2020-06-08T07:49:41,2398287
2020-06-08T07:50:46,2398150
2020-06-08T07:51:51,2397587
2020-06-08T07:52:56,2398708
2020-06-08T07:54:01,2398572
2020-06-08T07:55:06,2399603
2020-06-08T07:56:11,2409067
2020-06-08T07:57:16,2410333
2020-06-08T07:58:21,2416614
2020-06-08T07:59:26,2415584
2020-06-08T08:00:31,2414225
2020-06-08T08:01:36,2422855
2020-06-08T08:02:41,2432569
2020-06-08T08:03:46,2435059
2020-06-08T08:04:51,2437919
2020-06-08T08:05:56,2465599
2020-06-08T08:07:01,2466302
2020-06-08T08:08:06,2488852
2020-06-08T08:09:11,2487444
2020-06-08T08:10:16,2486411
2020-06-08T08:11:21,2490246
2020-06-08T08:12:26,2489228
