date,value
2020-06-03T02:50:16,5590
2020-06-03T02:51:21,5600
2020-06-03T02:52:26,5636
2020-06-03T02:53:31,5627
2020-06-03T02:54:36,5597
2020-06-03T02:55:41,5652
2020-06-03T02:56:46,5633
2020-06-03T02:57:51,5619
2020-06-03T02:58:56,5613
2020-06-03T03:00:01,5613
2020-06-03T03:01:06,5595
2020-06-03T03:02:11,5608
2020-06-03T03:03:18,5609
2020-06-03T03:04:23,5613
2020-06-03T03:05:28,5612
2020-06-03T03:06:33,5612
2020-06-03T03:07:38,5604
2020-06-03T03:08:43,5604
2020-06-03T03:09:48,5621
2020-06-03T03:10:53,5610
2020-06-03T03:11:58,5606
2020-06-03T03:13:03,5608
2020-06-03T03:14:08,5602
2020-06-03T03:15:13,5600
2020-06-03T03:16:18,5605
2020-06-03T03:17:23,5602
2020-06-03T03:18:28,5597
2020-06-03T03:19:33,5593
2020-06-03T03:20:38,5585
2020-06-03T03:21:43,5588
2020-06-03T03:22:48,5588
2020-06-03T03:23:53,5586
2020-06-03T03:24:58,5587
2020-06-03T03:26:03,5590
2020-06-03T03:27:08,5590
2020-06-03T03:28:13,5585
2020-06-03T03:29:18,5584
2020-06-03T03:30:23,5585
2020-06-03T03:31:28,5590
2020-06-03T03:32:33,5590
2020-06-03T03:33:38,5590
2020-06-03T03:34:43,5605
2020-06-03T03:35:48,5591
2020-06-03T03:36:53,5587
2020-06-03T03:37:58,5583
2020-06-03T03:39:03,5586
2020-06-03T03:40:08,5582
2020-06-03T03:41:13,5509
2020-06-03T03:42:18,5552
2020-06-03T03:43:23,5571
2020-06-03T03:44:29,5584
2020-06-03T03:45:34,5586
2020-06-03T03:46:39,5587
2020-06-03T03:47:44,5584
2020-06-03T03:48:49,5581
2020-06-03T03:49:54,5583
2020-06-03T03:50:59,5583
2020-06-03T03:52:04,5586
2020-06-03T03:53:09,5582
2020-06-03T03:54:14,5583
2020-06-03T03:55:19,5585
2020-06-03T03:56:24,5582
2020-06-03T03:57:29,5584
2020-06-03T03:58:34,5545
2020-06-03T03:59:39,5556
2020-06-03T04:00:44,5568
2020-06-03T04:01:49,5578
2020-06-03T04:02:54,5583
