date,value
2020-06-08T02:28:43,97
2020-06-08T02:29:48,97
2020-06-08T02:30:53,96
2020-06-08T02:31:58,96
2020-06-08T02:33:04,96
2020-06-08T02:34:10,96
2020-06-08T02:35:16,96
2020-06-08T02:36:21,96
2020-06-08T02:37:26,89
2020-06-08T02:38:31,89
2020-06-08T02:39:36,89
2020-06-08T02:40:41,89
2020-06-08T02:41:46,88
2020-06-08T02:42:51,88
2020-06-08T02:43:56,89
2020-06-08T02:45:01,88
2020-06-08T02:46:06,88
2020-06-08T02:47:11,88
2020-06-08T02:48:16,88
2020-06-08T02:49:21,88
2020-06-08T02:50:26,88
2020-06-08T02:51:31,88
2020-06-08T02:52:36,87
2020-06-08T02:53:41,87
2020-06-08T02:54:46,86
2020-06-08T02:55:51,86
2020-06-08T02:56:56,85
2020-06-08T02:58:01,85
2020-06-08T02:59:06,85
2020-06-08T03:00:11,85
2020-06-08T03:01:16,85
2020-06-08T03:02:21,85
2020-06-08T03:03:26,85
2020-06-08T03:04:31,85
2020-06-08T03:05:36,85
2020-06-08T03:06:41,85
2020-06-08T03:07:46,84
2020-06-08T03:08:51,84
2020-06-08T03:09:56,84
2020-06-08T03:11:01,84
2020-06-08T03:12:06,84
2020-06-08T03:13:11,84
2020-06-08T03:14:16,84
2020-06-08T03:15:21,84
2020-06-08T03:16:26,84
2020-06-08T03:17:31,84
2020-06-08T03:18:36,84
2020-06-08T03:19:41,84
2020-06-08T03:20:46,84
2020-06-08T03:21:51,84
2020-06-08T03:22:56,84
2020-06-08T03:24:01,84
2020-06-08T03:25:06,84
2020-06-08T03:26:11,84
2020-06-08T03:27:16,84
2020-06-08T03:28:21,83
2020-06-08T03:29:26,83
2020-06-08T03:30:31,83
2020-06-08T03:31:36,83
2020-06-08T03:32:41,83
2020-06-08T03:33:46,83
2020-06-08T03:34:50,84
2020-06-08T03:35:56,84
2020-06-08T03:37:01,83
2020-06-08T03:38:06,84
2020-06-08T03:39:11,84
2020-06-08T03:40:16,83
2020-06-08T03:41:21,83
2020-06-08T03:42:26,84
2020-06-08T03:43:31,84
2020-06-08T03:44:36,84
2020-06-08T03:45:41,84
2020-06-08T03:46:46,84
2020-06-08T03:47:51,84
2020-06-08T03:48:56,84
2020-06-08T03:50:01,84
2020-06-08T03:51:06,83
2020-06-08T03:52:11,84
2020-06-08T03:53:16,83
