date,value
2020-06-03T02:50:16,654590
2020-06-03T02:51:21,654430
2020-06-03T02:52:26,654660
2020-06-03T02:53:31,654630
2020-06-03T02:54:36,654430
2020-06-03T02:55:41,654800
2020-06-03T02:56:46,654420
2020-06-03T02:57:51,655390
2020-06-03T02:58:56,653970
2020-06-03T03:00:01,653980
2020-06-03T03:01:06,654110
2020-06-03T03:02:11,654880
2020-06-03T03:03:18,654810
2020-06-03T03:04:23,654960
2020-06-03T03:05:28,654740
2020-06-03T03:06:33,654830
2020-06-03T03:07:38,654830
2020-06-03T03:08:43,655020
2020-06-03T03:09:48,654700
2020-06-03T03:10:53,654850
2020-06-03T03:11:58,654820
2020-06-03T03:13:03,652990
2020-06-03T03:14:08,652860
2020-06-03T03:15:13,652890
2020-06-03T03:16:18,652860
2020-06-03T03:17:23,652780
2020-06-03T03:18:28,652780
2020-06-03T03:19:33,652870
2020-06-03T03:20:38,652780
2020-06-03T03:21:43,652840
2020-06-03T03:22:48,652840
2020-06-03T03:23:53,652980
2020-06-03T03:24:58,652940
2020-06-03T03:26:03,652730
2020-06-03T03:27:08,652260
2020-06-03T03:28:13,652840
2020-06-03T03:29:18,652810
2020-06-03T03:30:23,653020
2020-06-03T03:31:28,653020
2020-06-03T03:32:33,652850
2020-06-03T03:33:38,652840
2020-06-03T03:34:43,652840
2020-06-03T03:35:48,652830
2020-06-03T03:36:53,652850
2020-06-03T03:37:58,652650
2020-06-03T03:39:03,652860
2020-06-03T03:40:09,652810
2020-06-03T03:41:14,652860
2020-06-03T03:42:19,652810
2020-06-03T03:43:24,652950
2020-06-03T03:44:29,652930
2020-06-03T03:45:34,652900
2020-06-03T03:46:39,652900
2020-06-03T03:47:44,652900
2020-06-03T03:48:49,652890
2020-06-03T03:49:54,652910
2020-06-03T03:50:59,652930
2020-06-03T03:52:04,652870
2020-06-03T03:53:09,652770
2020-06-03T03:54:14,652870
2020-06-03T03:55:19,652760
2020-06-03T03:56:24,652730
2020-06-03T03:57:29,652940
2020-06-03T03:58:34,652940
2020-06-03T03:59:39,652940
2020-06-03T04:00:44,652940
2020-06-03T04:01:49,652940
2020-06-03T04:02:54,652900
2020-06-03T04:03:59,652900
2020-06-03T04:05:04,652750
2020-06-03T04:06:09,652890
2020-06-03T04:07:14,652900
2020-06-03T04:08:19,652890
2020-06-03T04:09:24,652850
2020-06-03T04:10:30,652850
2020-06-03T04:11:34,652910
2020-06-03T04:12:39,652820
2020-06-03T04:13:44,652840
2020-06-03T04:14:49,652780
2020-06-03T04:15:55,650820
2020-06-03T04:17:00,650520
2020-06-03T04:18:05,650500
2020-06-03T04:19:10,650580
2020-06-03T04:20:15,650600
2020-06-03T04:21:19,644100
2020-06-03T04:22:25,644160
2020-06-03T04:23:30,644210
2020-06-03T04:24:35,640760
2020-06-03T04:25:40,640870
2020-06-03T04:26:45,639130
2020-06-03T04:27:50,639530
2020-06-03T04:28:55,639650
2020-06-03T04:30:00,639850
2020-06-03T04:31:05,639650
2020-06-03T04:32:10,639870
2020-06-03T04:33:15,639840
2020-06-03T04:34:20,635280
2020-06-03T04:35:25,635430
2020-06-03T04:36:30,635290
2020-06-03T04:37:35,635290
2020-06-03T04:38:40,635330
2020-06-03T04:39:45,635330
2020-06-03T04:40:50,635260
2020-06-03T04:41:55,635260
2020-06-03T04:43:00,634590
2020-06-03T04:44:05,634590
2020-06-03T04:45:10,634380
2020-06-03T04:46:15,634380
2020-06-03T04:47:20,636420
2020-06-03T04:48:25,636580
2020-06-03T04:49:30,636520
2020-06-03T04:50:36,636590
2020-06-03T04:51:41,636560
2020-06-03T04:52:46,637090
2020-06-03T04:53:51,637060
2020-06-03T04:54:56,637240
2020-06-03T04:56:01,637160
2020-06-03T04:57:06,637160
2020-06-03T04:58:12,637160
2020-06-03T04:59:17,639200
2020-06-03T05:00:22,639230
2020-06-03T05:01:27,639070
2020-06-03T05:02:32,639030
2020-06-03T05:03:37,639260
2020-06-03T05:04:42,639350
2020-06-03T05:05:47,639180
2020-06-03T05:06:52,639250
2020-06-03T05:07:57,639250
2020-06-03T05:09:02,639270
2020-06-03T05:10:07,639160
2020-06-03T05:11:12,639170
2020-06-03T05:12:17,639170
2020-06-03T05:13:23,640400
2020-06-03T05:14:28,640410
2020-06-03T05:15:33,640390
2020-06-03T05:16:38,640330
2020-06-03T05:17:43,638230
2020-06-03T05:18:48,637320
2020-06-03T05:19:53,637580
2020-06-03T05:20:58,637650
2020-06-03T05:22:03,637560
2020-06-03T05:23:08,637670
2020-06-03T05:24:14,637660
2020-06-03T05:25:19,637440
2020-06-03T05:26:24,635410
2020-06-03T05:27:29,657950
2020-06-03T05:28:34,650350
2020-06-03T05:29:39,650290
2020-06-03T05:30:44,646420
2020-06-03T05:31:49,648290
2020-06-03T05:32:54,638370
2020-06-03T05:33:59,638390
2020-06-03T05:35:04,634220
2020-06-03T05:36:09,634240
2020-06-03T05:37:14,634240
2020-06-03T05:38:19,634160
2020-06-03T05:39:24,634200
2020-06-03T05:40:29,634390
2020-06-03T05:41:34,634210
2020-06-03T05:42:39,634360
2020-06-03T05:43:45,634140
2020-06-03T05:44:49,634260
2020-06-03T05:45:54,627490
2020-06-03T05:46:59,625710
2020-06-03T05:48:04,626290
2020-06-03T05:49:09,626160
2020-06-03T05:50:14,626290
2020-06-03T05:51:19,630290
2020-06-03T05:52:24,634280
2020-06-03T05:53:29,634110
2020-06-03T05:54:34,634110
2020-06-03T05:55:40,634110
2020-06-03T05:56:45,633970
2020-06-03T05:57:50,633970
2020-06-03T05:58:55,633970
2020-06-03T06:00:00,633970
2020-06-03T06:01:05,633570
2020-06-03T06:02:10,633510
2020-06-03T06:03:15,633510
2020-06-03T06:04:20,633510
2020-06-03T06:05:25,633250
2020-06-03T06:06:30,633260
2020-06-03T06:07:35,633190
2020-06-03T06:08:40,633190
2020-06-03T06:09:45,631190
2020-06-03T06:10:50,631260
2020-06-03T06:11:55,639430
2020-06-03T06:13:00,639280
2020-06-03T06:14:05,639390
2020-06-03T06:15:10,639450
2020-06-03T06:16:15,639490
2020-06-03T06:17:20,639320
2020-06-03T06:18:25,639340
2020-06-03T06:19:30,639490
2020-06-03T06:20:35,639490
2020-06-03T06:21:40,639320
2020-06-03T06:22:45,639360
2020-06-03T06:23:50,639800
