date,value
2020-06-03T02:50:16,1525
2020-06-03T02:51:21,1525
2020-06-03T02:52:26,1525
2020-06-03T02:53:31,1525
2020-06-03T02:54:36,1525
2020-06-03T02:55:41,1522
2020-06-03T02:56:46,1522
2020-06-03T02:57:51,1521
2020-06-03T02:58:56,1522
2020-06-03T03:00:01,1519
2020-06-03T03:01:06,1517
2020-06-03T03:02:11,1519
2020-06-03T03:03:18,1519
2020-06-03T03:04:23,1518
2020-06-03T03:05:28,1519
2020-06-03T03:06:33,1519
2020-06-03T03:07:38,1519
2020-06-03T03:08:43,1519
2020-06-03T03:09:48,1519
2020-06-03T03:10:53,1519
2020-06-03T03:11:58,1519
2020-06-03T03:13:03,1523
2020-06-03T03:14:08,1522
2020-06-03T03:15:13,1521
2020-06-03T03:16:18,1522
2020-06-03T03:17:23,1521
2020-06-03T03:18:28,1521
2020-06-03T03:19:33,1522
2020-06-03T03:20:38,1524
2020-06-03T03:21:43,1524
2020-06-03T03:22:48,1524
2020-06-03T03:23:53,1526
2020-06-03T03:24:58,1525
2020-06-03T03:26:03,1526
2020-06-03T03:27:08,1524
2020-06-03T03:28:13,1528
2020-06-03T03:29:18,1528
2020-06-03T03:30:23,1528
2020-06-03T03:31:28,1528
2020-06-03T03:32:33,1527
2020-06-03T03:33:38,1527
2020-06-03T03:34:43,1528
2020-06-03T03:35:48,1531
2020-06-03T03:36:53,1532
2020-06-03T03:37:58,1532
2020-06-03T03:39:03,1532
2020-06-03T03:40:08,1532
2020-06-03T03:41:13,1530
2020-06-03T03:42:18,1530
2020-06-03T03:43:23,1530
2020-06-03T03:44:29,1535
2020-06-03T03:45:34,1535
2020-06-03T03:46:39,1535
2020-06-03T03:47:44,1535
2020-06-03T03:48:49,1533
2020-06-03T03:49:54,1534
2020-06-03T03:50:59,1534
2020-06-03T03:52:04,1534
2020-06-03T03:53:09,1534
2020-06-03T03:54:14,1535
2020-06-03T03:55:19,1536
2020-06-03T03:56:24,1536
2020-06-03T03:57:29,1536
2020-06-03T03:58:34,1541
2020-06-03T03:59:39,1542
2020-06-03T04:00:44,1549
2020-06-03T04:01:49,1548
2020-06-03T04:02:54,1546
2020-06-03T04:03:59,1546
2020-06-03T04:05:04,1546
2020-06-03T04:06:09,1544
2020-06-03T04:07:14,1545
2020-06-03T04:08:19,1543
2020-06-03T04:09:24,1542
