date,value
2020-06-08T02:28:43,11482
2020-06-08T02:29:48,11470
2020-06-08T02:30:53,11469
2020-06-08T02:31:58,11471
2020-06-08T02:33:04,11477
2020-06-08T02:34:10,11475
2020-06-08T02:35:16,11476
2020-06-08T02:36:21,11472
2020-06-08T02:37:26,11432
2020-06-08T02:38:31,11448
2020-06-08T02:39:36,11452
2020-06-08T02:40:41,11462
2020-06-08T02:41:46,11459
2020-06-08T02:42:51,11458
2020-06-08T02:43:56,11455
2020-06-08T02:45:01,11455
2020-06-08T02:46:06,11459
2020-06-08T02:47:11,11462
2020-06-08T02:48:16,11446
2020-06-08T02:49:21,11457
2020-06-08T02:50:26,11465
2020-06-08T02:51:31,11463
2020-06-08T02:52:36,11465
2020-06-08T02:53:41,11454
2020-06-08T02:54:46,11460
2020-06-08T02:55:51,11454
2020-06-08T02:56:56,11457
2020-06-08T02:58:01,11454
2020-06-08T02:59:06,11459
2020-06-08T03:00:11,11455
2020-06-08T03:01:16,11464
2020-06-08T03:02:21,11468
2020-06-08T03:03:26,11456
2020-06-08T03:04:31,11456
2020-06-08T03:05:36,11455
2020-06-08T03:06:41,11461
2020-06-08T03:07:46,11444
2020-06-08T03:08:51,11452
2020-06-08T03:09:56,11447
2020-06-08T03:11:01,11447
2020-06-08T03:12:06,11447
2020-06-08T03:13:11,11447
2020-06-08T03:14:16,11447
2020-06-08T03:15:21,11459
2020-06-08T03:16:26,11450
2020-06-08T03:17:31,11458
2020-06-08T03:18:36,11458
2020-06-08T03:19:41,11458
2020-06-08T03:20:46,11443
2020-06-08T03:21:51,11457
2020-06-08T03:22:56,11451
2020-06-08T03:24:01,11439
2020-06-08T03:25:06,11457
2020-06-08T03:26:11,11457
2020-06-08T03:27:16,11452
2020-06-08T03:28:21,11450
2020-06-08T03:29:26,11452
2020-06-08T03:30:31,11453
2020-06-08T03:31:36,11446
2020-06-08T03:32:40,11458
2020-06-08T03:33:45,11448
2020-06-08T03:34:50,11466
2020-06-08T03:35:56,11454
2020-06-08T03:37:01,11449
2020-06-08T03:38:06,11444
2020-06-08T03:39:11,11446
2020-06-08T03:40:16,11450
2020-06-08T03:41:21,11452
2020-06-08T03:42:26,11447
2020-06-08T03:43:31,11444
2020-06-08T03:44:36,11443
2020-06-08T03:45:41,11445
2020-06-08T03:46:46,11447
2020-06-08T03:47:51,11445
2020-06-08T03:48:56,11454
2020-06-08T03:50:01,11446
2020-06-08T03:51:06,11447
2020-06-08T03:52:11,11450
2020-06-08T03:53:16,11444
2020-06-08T03:54:21,11456
2020-06-08T03:55:26,11448
2020-06-08T03:56:32,11441
2020-06-08T03:57:37,11449
2020-06-08T03:58:42,11446
2020-06-08T03:59:47,11399
2020-06-08T04:00:52,11406
2020-06-08T04:01:57,11451
2020-06-08T04:03:02,11444
2020-06-08T04:04:07,11443
2020-06-08T04:05:12,11439
2020-06-08T04:06:17,11449
2020-06-08T04:07:22,11445
2020-06-08T04:08:27,11444
2020-06-08T04:09:32,11443
2020-06-08T04:10:37,11453
2020-06-08T04:11:42,11447
2020-06-08T04:12:48,11464
2020-06-08T04:13:53,11481
2020-06-08T04:14:58,11487
2020-06-08T04:16:02,11486
2020-06-08T04:17:08,11483
2020-06-08T04:18:13,11494
2020-06-08T04:19:17,11479
2020-06-08T04:20:22,11474
2020-06-08T04:21:27,11476
2020-06-08T04:22:32,11484
2020-06-08T04:23:37,11484
2020-06-08T04:24:42,11483
2020-06-08T04:25:48,11480
2020-06-08T04:26:53,11486
2020-06-08T04:27:58,11484
2020-06-08T04:29:03,11479
2020-06-08T04:30:08,11484
2020-06-08T04:31:13,11478
2020-06-08T04:32:18,11487
2020-06-08T04:33:23,11480
2020-06-08T04:34:28,11476
2020-06-08T04:35:33,11482
2020-06-08T04:36:38,11482
2020-06-08T04:37:43,11479
2020-06-08T04:38:48,11478
2020-06-08T04:39:54,11479
2020-06-08T04:40:59,11481
2020-06-08T04:42:04,11491
2020-06-08T04:43:09,11483
2020-06-08T04:44:14,11477
2020-06-08T04:45:19,11486
2020-06-08T04:46:24,11481
2020-06-08T04:47:29,11483
2020-06-08T04:48:34,11484
2020-06-08T04:49:40,11488
2020-06-08T04:50:45,11478
2020-06-08T04:51:50,11483
2020-06-08T04:52:56,11484
2020-06-08T04:54:01,11484
2020-06-08T04:55:06,11484
2020-06-08T04:56:11,11481
2020-06-08T04:57:16,11482
2020-06-08T04:58:21,11479
2020-06-08T04:59:26,11481
2020-06-08T05:00:31,11481
2020-06-08T05:01:36,11480
2020-06-08T05:02:41,11480
2020-06-08T05:03:46,11475
2020-06-08T05:04:51,11478
2020-06-08T05:05:56,11475
2020-06-08T05:07:01,11479
2020-06-08T05:08:07,11492
2020-06-08T05:09:12,11480
2020-06-08T05:10:17,11473
2020-06-08T05:11:22,11473
2020-06-08T05:12:27,11481
2020-06-08T05:13:32,11485
2020-06-08T05:14:37,11483
2020-06-08T05:15:42,11482
2020-06-08T05:16:47,11488
2020-06-08T05:17:52,11478
2020-06-08T05:18:57,11474
2020-06-08T05:20:02,11479
2020-06-08T05:21:07,11477
2020-06-08T05:22:13,11478
2020-06-08T05:23:18,11478
2020-06-08T05:24:23,11482
2020-06-08T05:25:28,11484
2020-06-08T05:26:33,11479
2020-06-08T05:27:38,11479
2020-06-08T05:28:43,11473
2020-06-08T05:29:48,11472
2020-06-08T05:30:53,11477
2020-06-08T05:31:59,11487
2020-06-08T05:33:04,11476
2020-06-08T05:34:09,11486
2020-06-08T05:35:15,11486
2020-06-08T05:36:19,11484
2020-06-08T05:37:25,11475
2020-06-08T05:38:30,11479
2020-06-08T05:39:35,11472
2020-06-08T05:40:41,11474
2020-06-08T05:41:46,11478
2020-06-08T05:42:51,11483
2020-06-08T05:43:56,11479
2020-06-08T05:45:01,11479
2020-06-08T05:46:06,11472
2020-06-08T05:47:11,11473
