date,value
2020-06-04T01:49:04,4794604
2020-06-04T01:50:09,4797449
2020-06-04T01:51:14,4796184
2020-06-04T01:52:19,4796058
2020-06-04T01:53:24,4797889
2020-06-04T01:55:34,4800292
2020-06-04T01:56:39,4801553
2020-06-04T01:58:49,4789845
2020-06-04T01:59:54,4793901
2020-06-04T02:01:00,4792259
2020-06-04T02:02:05,4792765
2020-06-04T02:03:10,4798568
2020-06-04T02:05:20,4814323
2020-06-04T02:06:25,4812731
2020-06-04T02:07:30,4813944
2020-06-04T02:08:35,4814323
2020-06-04T02:09:40,4815017
2020-06-04T02:10:45,4861013
2020-06-04T02:12:55,4833851
2020-06-04T02:17:15,4915994
2020-06-04T02:18:20,4926837
2020-06-04T02:19:25,4952172
2020-06-04T02:20:30,4952829
2020-06-04T02:21:35,4963302
2020-06-04T02:22:39,4935628
2020-06-04T02:23:44,4934412
2020-06-04T02:24:49,4939071
2020-06-04T02:25:54,4923908
2020-06-04T02:26:59,4913262
2020-06-04T02:28:04,4952712
2020-06-04T02:30:14,4977436
2020-06-04T02:31:19,4957552
2020-06-04T02:32:24,4966671
2020-06-04T02:33:29,4959921
2020-06-04T02:34:34,4959189
2020-06-04T02:35:39,4976167
2020-06-04T02:36:44,4963952
2020-06-04T02:37:49,4965459
2020-06-04T02:38:54,4968558
2020-06-04T02:39:59,4981642
2020-06-04T02:41:04,4994184
2020-06-04T02:42:09,4990300
2020-06-04T02:44:19,4989848
2020-06-04T02:45:24,4973856
2020-06-04T02:46:29,4983822
2020-06-04T02:47:34,4989070
