date,value
2020-06-09T01:28:10,820570
2020-06-09T01:29:15,820630
2020-06-09T01:30:20,820620
2020-06-09T01:31:26,820600
2020-06-09T01:32:31,820590
2020-06-09T01:33:36,820580
2020-06-09T01:34:42,820580
2020-06-09T01:35:47,820490
2020-06-09T01:36:54,820630
2020-06-09T01:37:59,820590
2020-06-09T01:39:05,821030
2020-06-09T01:40:10,820630
2020-06-09T01:41:15,820650
2020-06-09T01:42:20,820630
2020-06-09T01:43:26,820550
2020-06-09T01:44:31,820840
2020-06-09T01:45:36,820740
2020-06-09T01:46:42,820730
2020-06-09T01:47:47,820750
2020-06-09T01:48:52,820710
2020-06-09T01:49:57,820750
2020-06-09T01:51:03,820750
2020-06-09T01:52:08,820740
2020-06-09T01:53:13,820760
2020-06-09T01:54:19,821160
2020-06-09T01:55:24,820710
2020-06-09T01:56:29,820720
2020-06-09T01:57:35,820790
2020-06-09T01:58:40,820750
2020-06-09T01:59:46,820740
2020-06-09T02:00:51,820770
2020-06-09T02:01:56,820760
2020-06-09T02:03:01,819900
2020-06-09T02:04:07,820340
2020-06-09T02:05:12,820360
2020-06-09T02:06:17,820350
2020-06-09T02:07:22,820370
2020-06-09T02:08:28,820340
2020-06-09T02:09:33,820330
2020-06-09T02:10:38,820350
2020-06-09T02:11:44,820300
2020-06-09T02:12:49,820360
2020-06-09T02:13:55,820340
2020-06-09T02:15:00,819760
2020-06-09T02:16:05,819720
2020-06-09T02:17:11,819740
2020-06-09T02:18:16,819730
2020-06-09T02:19:21,819740
2020-06-09T02:20:27,819730
2020-06-09T02:21:32,819150
2020-06-09T02:22:37,819140
2020-06-09T02:23:42,818860
2020-06-09T02:24:48,818460
2020-06-09T02:25:53,818080
2020-06-09T02:26:58,818050
