date,value
2020-06-09T01:28:10,311492600
2020-06-09T01:29:15,311519800
2020-06-09T01:30:21,311469100
2020-06-09T01:31:26,311418700
2020-06-09T01:32:31,311408100
2020-06-09T01:33:36,311379700
2020-06-09T01:34:42,311383300
2020-06-09T01:35:47,312313900
2020-06-09T01:36:54,312330000
2020-06-09T01:37:59,312279000
2020-06-09T01:39:05,312354700
2020-06-09T01:40:10,312320800
2020-06-09T01:41:15,312320500
2020-06-09T01:42:20,312336100
2020-06-09T01:43:26,312309200
2020-06-09T01:44:31,312305100
2020-06-09T01:45:36,312283000
2020-06-09T01:46:42,312295300
2020-06-09T01:47:47,312294000
2020-06-09T01:48:52,312486500
2020-06-09T01:49:58,312490300
2020-06-09T01:51:03,312490600
2020-06-09T01:52:08,312489700
2020-06-09T01:53:13,312464700
2020-06-09T01:54:19,312456000
2020-06-09T01:55:24,312454200
2020-06-09T01:56:29,312477500
2020-06-09T01:57:35,312451300
2020-06-09T01:58:40,312385100
2020-06-09T01:59:46,312404500
2020-06-09T02:00:51,312274300
2020-06-09T02:01:56,312268200
2020-06-09T02:03:02,312261000
2020-06-09T02:04:07,312274800
2020-06-09T02:05:12,312147400
2020-06-09T02:06:17,312043900
2020-06-09T02:07:23,312077300
2020-06-09T02:08:28,312088800
2020-06-09T02:09:33,312100800
2020-06-09T02:10:38,312084900
2020-06-09T02:11:44,312098200
2020-06-09T02:12:49,312144000
2020-06-09T02:13:55,312125500
2020-06-09T02:15:00,312121500
2020-06-09T02:16:05,312161000
2020-06-09T02:17:11,312164800
2020-06-09T02:18:16,312161800
2020-06-09T02:19:21,312159900
2020-06-09T02:20:27,312110700
2020-06-09T02:21:32,312134400
2020-06-09T02:22:37,312131000
2020-06-09T02:23:42,312269200
2020-06-09T02:24:48,312251300
2020-06-09T02:25:53,312240200
2020-06-09T02:26:58,312255100
