date,value
2020-06-09T01:28:10,318089
2020-06-09T01:29:15,318037
2020-06-09T01:30:20,318291
2020-06-09T01:31:26,317286
2020-06-09T01:32:31,317284
2020-06-09T01:33:36,317310
2020-06-09T01:34:42,317499
2020-06-09T01:35:47,318765
2020-06-09T01:36:54,318335
2020-06-09T01:37:59,318140
2020-06-09T01:39:05,317546
2020-06-09T01:40:10,317593
2020-06-09T01:41:15,317593
2020-06-09T01:42:20,317730
2020-06-09T01:43:26,317777
2020-06-09T01:44:31,317843
2020-06-09T01:45:36,317897
2020-06-09T01:46:42,317869
2020-06-09T01:47:47,317853
2020-06-09T01:48:52,317865
2020-06-09T01:49:57,317784
2020-06-09T01:51:03,318084
2020-06-09T01:52:08,317946
2020-06-09T01:53:13,317514
2020-06-09T01:54:19,317536
2020-06-09T01:55:24,317593
2020-06-09T01:56:29,317761
2020-06-09T01:57:35,317811
2020-06-09T01:58:40,317710
2020-06-09T01:59:45,317844
2020-06-09T02:00:51,317930
2020-06-09T02:01:56,317927
2020-06-09T02:03:01,319053
2020-06-09T02:04:07,318948
2020-06-09T02:05:12,318626
2020-06-09T02:06:17,317946
2020-06-09T02:07:22,317903
2020-06-09T02:08:28,317967
2020-06-09T02:09:33,317062
2020-06-09T02:10:38,317162
2020-06-09T02:11:44,317156
2020-06-09T02:12:49,317387
2020-06-09T02:13:55,317423
2020-06-09T02:15:00,317393
2020-06-09T02:16:05,317416
2020-06-09T02:17:11,317438
2020-06-09T02:18:16,317470
2020-06-09T02:19:21,317473
2020-06-09T02:20:27,317560
2020-06-09T02:21:32,317560
2020-06-09T02:22:37,317582
2020-06-09T02:23:42,317657
2020-06-09T02:24:48,317717
2020-06-09T02:25:53,317675
2020-06-09T02:26:58,318019
