date,value
2020-06-09T01:28:10,879010
2020-06-09T01:29:15,880220
2020-06-09T01:30:20,880350
2020-06-09T01:31:26,881370
2020-06-09T01:32:31,882680
2020-06-09T01:33:36,883140
2020-06-09T01:34:42,885120
2020-06-09T01:35:47,884550
2020-06-09T01:36:54,885320
2020-06-09T01:37:59,885520
2020-06-09T01:39:05,884940
2020-06-09T01:40:10,884940
2020-06-09T01:41:15,884940
2020-06-09T01:42:20,884940
2020-06-09T01:43:26,885050
2020-06-09T01:44:31,882420
2020-06-09T01:45:36,882910
2020-06-09T01:46:42,882930
2020-06-09T01:47:47,882840
2020-06-09T01:48:52,882650
2020-06-09T01:49:57,879910
2020-06-09T01:51:03,880120
2020-06-09T01:52:08,880180
2020-06-09T01:53:13,880360
2020-06-09T01:54:19,880420
2020-06-09T01:55:24,880450
2020-06-09T01:56:29,880690
2020-06-09T01:57:35,880910
2020-06-09T01:58:40,881290
2020-06-09T01:59:46,881780
2020-06-09T02:00:51,881830
2020-06-09T02:01:56,881830
2020-06-09T02:03:01,878770
2020-06-09T02:04:07,878770
2020-06-09T02:05:12,878030
2020-06-09T02:06:17,878170
2020-06-09T02:07:22,878260
2020-06-09T02:08:28,878260
2020-06-09T02:09:33,878540
2020-06-09T02:10:38,878840
2020-06-09T02:11:44,880380
2020-06-09T02:12:49,881130
2020-06-09T02:13:55,878520
2020-06-09T02:15:00,877490
2020-06-09T02:16:05,877850
2020-06-09T02:17:11,878240
2020-06-09T02:18:16,878240
2020-06-09T02:19:21,878240
2020-06-09T02:20:27,878240
2020-06-09T02:21:32,878240
2020-06-09T02:22:37,878240
2020-06-09T02:23:42,881460
2020-06-09T02:24:48,882140
2020-06-09T02:25:53,879500
2020-06-09T02:26:58,880050
