date,value
2020-06-09T01:28:10,1374940
2020-06-09T01:29:15,1375690
2020-06-09T01:30:20,1378760
2020-06-09T01:31:26,1382770
2020-06-09T01:32:31,1386160
2020-06-09T01:33:36,1388200
2020-06-09T01:34:42,1396970
2020-06-09T01:35:47,1399470
2020-06-09T01:36:54,1400180
2020-06-09T01:37:59,1399420
2020-06-09T01:39:05,1400130
2020-06-09T01:40:10,1400950
2020-06-09T01:41:15,1400270
2020-06-09T01:42:20,1400100
2020-06-09T01:43:26,1400440
2020-06-09T01:44:31,1404440
2020-06-09T01:45:36,1403100
2020-06-09T01:46:42,1402100
2020-06-09T01:47:47,1401440
2020-06-09T01:48:52,1397960
2020-06-09T01:49:57,1399920
2020-06-09T01:51:03,1400020
2020-06-09T01:52:08,1399780
2020-06-09T01:53:13,1399760
2020-06-09T01:54:19,1399720
2020-06-09T01:55:24,1399710
2020-06-09T01:56:29,1404050
2020-06-09T01:57:35,1403430
2020-06-09T01:58:40,1401070
2020-06-09T01:59:46,1400100
2020-06-09T02:00:51,1399680
2020-06-09T02:01:56,1399940
2020-06-09T02:03:01,1399750
2020-06-09T02:04:07,1399750
2020-06-09T02:05:12,1397620
2020-06-09T02:06:17,1399110
2020-06-09T02:07:22,1398020
2020-06-09T02:08:28,1398980
2020-06-09T02:09:33,1399040
2020-06-09T02:10:38,1399050
2020-06-09T02:11:44,1399170
2020-06-09T02:12:49,1399050
2020-06-09T02:13:55,1399160
2020-06-09T02:15:00,1399120
2020-06-09T02:16:05,1399000
2020-06-09T02:17:11,1399110
2020-06-09T02:18:16,1399110
2020-06-09T02:19:21,1399140
2020-06-09T02:20:27,1398960
2020-06-09T02:21:32,1399010
2020-06-09T02:22:37,1398560
2020-06-09T02:23:42,1398960
2020-06-09T02:24:48,1398540
2020-06-09T02:25:53,1402330
2020-06-09T02:26:58,1402470
