date,value
2020-06-09T01:28:10,163968
2020-06-09T01:29:15,163947
2020-06-09T01:30:20,163384
2020-06-09T01:31:26,163109
2020-06-09T01:32:31,163177
2020-06-09T01:33:36,163133
2020-06-09T01:34:42,163130
2020-06-09T01:35:47,163502
2020-06-09T01:36:54,163468
2020-06-09T01:37:59,163587
2020-06-09T01:39:05,163471
2020-06-09T01:40:10,163386
2020-06-09T01:41:15,163557
2020-06-09T01:42:20,163509
2020-06-09T01:43:26,163379
2020-06-09T01:44:31,163021
2020-06-09T01:45:36,163144
2020-06-09T01:46:42,163192
2020-06-09T01:47:47,163270
2020-06-09T01:48:52,163055
2020-06-09T01:49:57,163226
2020-06-09T01:51:03,163257
2020-06-09T01:52:08,163291
2020-06-09T01:53:13,163386
2020-06-09T01:54:19,163397
2020-06-09T01:55:24,163397
2020-06-09T01:56:29,163284
2020-06-09T01:57:34,163441
2020-06-09T01:58:40,163397
2020-06-09T01:59:45,163441
2020-06-09T02:00:51,163376
2020-06-09T02:01:56,163383
2020-06-09T02:03:01,163172
2020-06-09T02:04:07,163172
2020-06-09T02:05:12,163448
2020-06-09T02:06:17,163182
2020-06-09T02:07:22,162861
2020-06-09T02:08:28,162741
2020-06-09T02:09:33,162765
2020-06-09T02:10:38,162861
2020-06-09T02:11:44,162820
2020-06-09T02:12:49,162755
2020-06-09T02:13:54,162755
2020-06-09T02:15:00,162738
2020-06-09T02:16:05,162833
2020-06-09T02:17:11,162776
2020-06-09T02:18:16,162759
2020-06-09T02:19:21,162782
2020-06-09T02:20:26,162806
2020-06-09T02:21:32,162830
2020-06-09T02:22:37,162827
2020-06-09T02:23:42,162990
2020-06-09T02:24:47,163065
2020-06-09T02:25:53,163116
2020-06-09T02:26:58,163164
