date,value
2020-06-09T01:28:10,26452010
2020-06-09T01:29:15,26431450
2020-06-09T01:30:21,26431190
2020-06-09T01:31:26,26435830
2020-06-09T01:32:31,26436520
2020-06-09T01:33:36,26435810
2020-06-09T01:34:42,26434820
2020-06-09T01:35:47,26410660
2020-06-09T01:36:54,26403340
2020-06-09T01:37:59,26367780
2020-06-09T01:39:05,26364480
2020-06-09T01:40:10,26352180
2020-06-09T01:41:15,26351790
2020-06-09T01:42:20,26333210
2020-06-09T01:43:26,26335620
2020-06-09T01:44:31,26342580
2020-06-09T01:45:36,26333120
2020-06-09T01:46:42,26336450
2020-06-09T01:47:47,26336160
2020-06-09T01:48:52,26337960
2020-06-09T01:49:57,26333520
2020-06-09T01:51:03,26333840
2020-06-09T01:52:08,26332640
2020-06-09T01:53:13,26331110
2020-06-09T01:54:19,26328140
2020-06-09T01:55:24,26327990
2020-06-09T01:56:29,26334100
2020-06-09T01:57:35,26333200
2020-06-09T01:58:40,26329490
2020-06-09T01:59:46,26325250
2020-06-09T02:00:51,26349360
2020-06-09T02:01:56,26337070
2020-06-09T02:03:01,26326990
2020-06-09T02:04:07,26328510
2020-06-09T02:05:12,26346660
2020-06-09T02:06:17,26334420
2020-06-09T02:07:22,26334030
2020-06-09T02:08:28,26329330
2020-06-09T02:09:33,26329110
2020-06-09T02:10:38,26331850
2020-06-09T02:11:44,26330210
2020-06-09T02:12:49,26331990
2020-06-09T02:13:55,26331880
2020-06-09T02:15:00,26336060
2020-06-09T02:16:05,26328820
2020-06-09T02:17:11,26324600
2020-06-09T02:18:16,26314200
2020-06-09T02:19:21,26313500
2020-06-09T02:20:27,26315250
2020-06-09T02:21:32,26314610
2020-06-09T02:22:37,26313360
2020-06-09T02:23:42,26310340
2020-06-09T02:24:48,26296310
2020-06-09T02:25:53,26306710
2020-06-09T02:26:58,26307140
