date,value
2020-06-09T01:28:10,6774
2020-06-09T01:29:15,6787
2020-06-09T01:30:20,6776
2020-06-09T01:31:26,6783
2020-06-09T01:32:31,6775
2020-06-09T01:33:36,6759
2020-06-09T01:34:42,6777
2020-06-09T01:35:47,6778
2020-06-09T01:36:54,6760
2020-06-09T01:37:59,6771
2020-06-09T01:39:05,6764
2020-06-09T01:40:10,6726
2020-06-09T01:41:15,6741
2020-06-09T01:42:20,6755
2020-06-09T01:43:26,6769
2020-06-09T01:44:31,6746
2020-06-09T01:45:36,6758
2020-06-09T01:46:42,6773
2020-06-09T01:47:47,6774
2020-06-09T01:48:52,6783
2020-06-09T01:49:57,6772
2020-06-09T01:51:03,6785
2020-06-09T01:52:08,6778
2020-06-09T01:53:13,6771
2020-06-09T01:54:19,6782
2020-06-09T01:55:24,6772
2020-06-09T01:56:29,6774
2020-06-09T01:57:35,6775
2020-06-09T01:58:40,6819
2020-06-09T01:59:45,6793
2020-06-09T02:00:51,6792
2020-06-09T02:01:56,6794
2020-06-09T02:03:01,6792
2020-06-09T02:04:07,6794
2020-06-09T02:05:12,6791
2020-06-09T02:06:17,6834
2020-06-09T02:07:22,6816
2020-06-09T02:08:28,6802
2020-06-09T02:09:33,6778
2020-06-09T02:10:38,6790
2020-06-09T02:11:44,6814
2020-06-09T02:12:49,6789
2020-06-09T02:13:54,6799
2020-06-09T02:15:00,6792
2020-06-09T02:16:05,6777
2020-06-09T02:17:11,6777
2020-06-09T02:18:16,6774
2020-06-09T02:19:21,6782
2020-06-09T02:20:27,6772
2020-06-09T02:21:32,6779
2020-06-09T02:22:37,6777
2020-06-09T02:23:42,6714
2020-06-09T02:24:47,6747
2020-06-09T02:25:53,6763
2020-06-09T02:26:58,6777
