date,value
2020-06-09T01:28:10,11739
2020-06-09T01:29:15,11741
2020-06-09T01:30:20,11741
2020-06-09T01:31:26,11740
2020-06-09T01:32:31,11745
2020-06-09T01:33:36,11745
2020-06-09T01:34:41,11745
2020-06-09T01:35:47,11738
2020-06-09T01:36:54,11680
2020-06-09T01:37:59,11675
2020-06-09T01:39:05,11684
2020-06-09T01:40:10,11684
2020-06-09T01:41:15,11684
2020-06-09T01:42:20,11679
2020-06-09T01:43:26,11673
2020-06-09T01:44:31,11682
2020-06-09T01:45:36,11680
2020-06-09T01:46:42,11688
2020-06-09T01:47:47,11688
2020-06-09T01:48:52,11688
2020-06-09T01:49:57,11677
2020-06-09T01:51:03,11677
2020-06-09T01:52:08,11677
2020-06-09T01:53:13,11677
2020-06-09T01:54:19,11677
2020-06-09T01:55:24,11677
2020-06-09T01:56:29,11677
2020-06-09T01:57:34,11677
2020-06-09T01:58:40,11677
2020-06-09T01:59:45,11677
2020-06-09T02:00:51,11677
2020-06-09T02:01:56,11677
2020-06-09T02:03:01,11677
2020-06-09T02:04:07,11677
2020-06-09T02:05:12,11671
2020-06-09T02:06:17,11671
2020-06-09T02:07:22,11671
2020-06-09T02:08:28,11710
2020-06-09T02:09:33,11704
2020-06-09T02:10:38,11700
2020-06-09T02:11:44,11705
2020-06-09T02:12:49,11705
2020-06-09T02:13:54,11693
2020-06-09T02:15:00,11700
2020-06-09T02:16:05,11700
2020-06-09T02:17:10,11700
2020-06-09T02:18:16,11700
2020-06-09T02:19:21,11700
2020-06-09T02:20:26,11700
2020-06-09T02:21:32,11700
2020-06-09T02:22:37,11700
2020-06-09T02:23:42,11694
2020-06-09T02:24:47,11644
2020-06-09T02:25:53,11639
2020-06-09T02:26:58,11619
