date,value
2020-06-04T00:49:29,1170850
2020-06-04T00:50:34,1170370
2020-06-04T00:51:39,1170250
2020-06-04T00:54:54,1170240
2020-06-04T00:55:59,1170370
2020-06-04T00:57:04,1174910
2020-06-04T00:58:09,1179070
2020-06-04T00:59:14,1178890
2020-06-04T01:00:19,1178600
2020-06-04T01:01:24,1177790
2020-06-04T01:02:29,1178220
2020-06-04T01:03:34,1178590
2020-06-04T01:05:44,1179690
2020-06-04T01:07:54,1181940
2020-06-04T01:08:59,1181890
2020-06-04T01:10:04,1181950
2020-06-04T01:11:09,1181860
2020-06-04T01:12:14,1181570
2020-06-04T01:13:19,1181910
2020-06-04T01:14:24,1181300
2020-06-04T01:16:34,1181700
2020-06-04T01:17:39,1179890
2020-06-04T01:18:44,1181830
2020-06-04T01:19:49,1181520
2020-06-04T01:20:54,1181490
2020-06-04T01:21:59,1235070
2020-06-04T01:23:04,1234600
2020-06-04T01:24:09,1234840
2020-06-04T01:25:14,1234730
2020-06-04T01:26:19,1235330
2020-06-04T01:27:24,1235020
2020-06-04T01:29:34,1235270
2020-06-04T01:30:39,1235290
2020-06-04T01:32:49,1235430
2020-06-04T01:33:54,1235340
2020-06-04T01:34:59,1235140
2020-06-04T01:36:04,1235260
2020-06-04T01:37:09,1234960
2020-06-04T01:38:14,1234890
2020-06-04T01:39:19,1234950
2020-06-04T01:41:29,1234940
2020-06-04T01:42:34,1237010
2020-06-04T01:44:44,1236570
2020-06-04T01:45:49,1239690
2020-06-04T01:46:54,1239650
2020-06-04T01:47:59,1239650
2020-06-04T01:49:04,1239560
2020-06-04T01:51:14,1239750
2020-06-04T01:52:19,1239680
2020-06-04T01:53:24,1239680
2020-06-04T01:55:34,1240400
2020-06-04T01:56:39,1240570
2020-06-04T01:57:44,1239680
2020-06-04T01:58:49,1239730
2020-06-04T01:59:54,1239730
2020-06-04T02:01:00,1244030
2020-06-04T02:02:05,1244030
2020-06-04T02:03:10,1241200
2020-06-04T02:06:25,1236920
2020-06-04T02:07:30,1236930
2020-06-04T02:08:35,1237510
2020-06-04T02:09:40,1237400
2020-06-04T02:10:45,1240350
2020-06-04T02:11:50,1229520
2020-06-04T02:12:55,1224080
2020-06-04T02:14:00,1224520
2020-06-04T02:15:05,1214630
2020-06-04T02:17:15,1208940
2020-06-04T02:18:20,1208300
2020-06-04T02:19:25,1207920
2020-06-04T02:20:30,1207950
2020-06-04T02:21:35,1214940
2020-06-04T02:23:44,1210740
2020-06-04T02:24:49,1211300
2020-06-04T02:25:54,1212330
2020-06-04T02:26:59,1200410
2020-06-04T02:28:04,1196890
2020-06-04T02:29:09,1191600
2020-06-04T02:30:14,1193830
2020-06-04T02:31:19,1195400
2020-06-04T02:32:24,1192930
2020-06-04T02:33:29,1192430
2020-06-04T02:35:39,1188350
2020-06-04T02:36:44,1187990
2020-06-04T02:37:49,1184670
2020-06-04T02:38:54,1183850
2020-06-04T02:39:59,1183700
2020-06-04T02:41:04,1180710
2020-06-04T02:42:09,1184550
2020-06-04T02:43:14,1184160
2020-06-04T02:44:19,1184160
2020-06-04T02:45:24,1189160
2020-06-04T02:46:29,1189680
2020-06-04T02:47:34,1190810
2020-06-04T02:48:40,1186100
