date,value
2020-06-04T00:49:29,18936
2020-06-04T00:50:34,18933
2020-06-04T00:51:39,18940
2020-06-04T00:52:44,18935
2020-06-04T00:53:49,18933
2020-06-04T00:55:59,18953
2020-06-04T00:57:04,18958
2020-06-04T00:58:09,18955
2020-06-04T00:59:14,18922
2020-06-04T01:00:19,18932
2020-06-04T01:01:24,18977
2020-06-04T01:02:29,18944
2020-06-04T01:05:44,18894
2020-06-04T01:06:49,18905
2020-06-04T01:07:54,18907
2020-06-04T01:08:59,18906
2020-06-04T01:10:04,18908
2020-06-04T01:11:09,18905
2020-06-04T01:12:14,18866
2020-06-04T01:13:19,18869
2020-06-04T01:14:24,18857
2020-06-04T01:15:29,18896
2020-06-04T01:16:34,18888
2020-06-04T01:19:49,18899
2020-06-04T01:20:54,18899
2020-06-04T01:23:04,18943
2020-06-04T01:24:09,18942
2020-06-04T01:25:14,18929
2020-06-04T01:26:19,18924
2020-06-04T01:27:24,18964
2020-06-04T01:28:29,18939
2020-06-04T01:29:34,18945
2020-06-04T01:31:44,19004
2020-06-04T01:32:49,19012
2020-06-04T01:34:59,19021
2020-06-04T01:36:04,19012
2020-06-04T01:37:09,18987
2020-06-04T01:39:19,18993
2020-06-04T01:40:24,18973
2020-06-04T01:41:29,18968
2020-06-04T01:42:34,18960
2020-06-04T01:43:39,18965
2020-06-04T01:44:44,18955
2020-06-04T01:45:49,18965
2020-06-04T01:46:54,18961
2020-06-04T01:47:59,18966
2020-06-04T01:49:04,18963
2020-06-04T01:50:09,18963
2020-06-04T01:51:14,18961
2020-06-04T01:52:19,18959
2020-06-04T01:53:24,18955
2020-06-04T01:55:34,18960
2020-06-04T01:56:39,18953
2020-06-04T01:58:49,18915
2020-06-04T01:59:54,18937
2020-06-04T02:01:00,18935
2020-06-04T02:02:05,18937
2020-06-04T02:03:10,18933
2020-06-04T02:05:20,18960
2020-06-04T02:06:25,18950
2020-06-04T02:07:30,18960
2020-06-04T02:08:35,18960
2020-06-04T02:09:40,18959
2020-06-04T02:10:45,19101
2020-06-04T02:12:55,18998
2020-06-04T02:17:15,19255
2020-06-04T02:18:20,19259
2020-06-04T02:19:25,19315
2020-06-04T02:20:30,19301
2020-06-04T02:21:35,19260
2020-06-04T02:22:39,19166
2020-06-04T02:23:44,19165
2020-06-04T02:24:49,19163
2020-06-04T02:25:54,19048
2020-06-04T02:26:59,18998
2020-06-04T02:28:04,19135
2020-06-04T02:30:14,19209
2020-06-04T02:31:19,19150
2020-06-04T02:32:24,19206
2020-06-04T02:33:29,19194
2020-06-04T02:34:34,19183
2020-06-04T02:35:39,19213
2020-06-04T02:36:44,19194
2020-06-04T02:37:49,19165
2020-06-04T02:38:54,19174
2020-06-04T02:39:59,19203
2020-06-04T02:41:04,19238
2020-06-04T02:42:09,19226
2020-06-04T02:44:19,19225
2020-06-04T02:45:24,19190
2020-06-04T02:46:29,19204
2020-06-04T02:47:34,19222
