date,value
2020-06-09T00:28:13,3179
2020-06-09T00:29:18,3181
2020-06-09T00:30:24,3182
2020-06-09T00:31:29,3187
2020-06-09T00:32:34,3176
2020-06-09T00:33:40,3184
2020-06-09T00:34:45,3197
2020-06-09T00:35:50,3195
2020-06-09T00:36:56,3198
2020-06-09T00:38:01,3199
2020-06-09T00:39:06,3199
2020-06-09T00:40:11,3197
2020-06-09T00:41:17,3202
2020-06-09T00:42:22,3192
2020-06-09T00:43:27,3193
2020-06-09T00:44:33,3192
2020-06-09T00:45:38,3193
2020-06-09T00:46:43,3194
2020-06-09T00:47:48,3193
2020-06-09T00:48:54,3193
2020-06-09T00:49:59,3198
2020-06-09T00:51:05,3197
2020-06-09T00:52:10,3195
2020-06-09T00:53:15,3198
2020-06-09T00:54:20,3196
2020-06-09T00:55:26,3197
2020-06-09T00:56:31,3198
2020-06-09T00:57:36,3199
2020-06-09T00:58:41,3198
2020-06-09T00:59:47,3197
2020-06-09T01:00:52,3196
2020-06-09T01:01:57,3199
2020-06-09T01:03:03,3202
2020-06-09T01:04:08,3199
2020-06-09T01:05:13,3197
2020-06-09T01:06:18,3199
2020-06-09T01:07:24,3196
2020-06-09T01:08:29,3196
2020-06-09T01:09:35,3195
2020-06-09T01:10:40,3198
2020-06-09T01:11:45,3198
2020-06-09T01:12:51,3195
2020-06-09T01:13:58,3196
2020-06-09T01:15:05,3198
2020-06-09T01:16:11,3198
2020-06-09T01:17:17,3197
2020-06-09T01:18:22,3199
2020-06-09T01:19:27,3198
2020-06-09T01:20:33,3199
2020-06-09T01:21:38,3198
2020-06-09T01:22:43,3200
2020-06-09T01:23:49,3198
2020-06-09T01:24:54,3197
2020-06-09T01:25:59,3201
2020-06-09T01:27:05,3197
2020-06-09T01:28:10,3198
2020-06-09T01:29:15,3198
2020-06-09T01:30:20,3199
2020-06-09T01:31:26,3200
2020-06-09T01:32:31,3200
2020-06-09T01:33:36,3196
2020-06-09T01:34:42,3199
2020-06-09T01:35:47,3196
2020-06-09T01:36:54,3197
2020-06-09T01:37:59,3195
2020-06-09T01:39:05,3198
2020-06-09T01:40:10,3196
2020-06-09T01:41:15,3199
2020-06-09T01:42:20,3196
2020-06-09T01:43:26,3195
2020-06-09T01:44:31,3196
2020-06-09T01:45:36,3196
2020-06-09T01:46:42,3199
2020-06-09T01:47:47,3197
2020-06-09T01:48:52,3198
2020-06-09T01:49:57,3196
2020-06-09T01:51:03,3199
2020-06-09T01:52:08,3198
2020-06-09T01:53:13,3199
2020-06-09T01:54:19,3196
2020-06-09T01:55:24,3198
2020-06-09T01:56:29,3195
2020-06-09T01:57:34,3196
2020-06-09T01:58:40,3199
2020-06-09T01:59:45,3197
2020-06-09T02:00:51,3199
2020-06-09T02:01:56,3197
2020-06-09T02:03:01,3197
2020-06-09T02:04:07,3196
2020-06-09T02:05:12,3201
2020-06-09T02:06:17,3200
2020-06-09T02:07:22,3195
2020-06-09T02:08:28,3196
2020-06-09T02:09:33,3197
2020-06-09T02:10:38,3199
2020-06-09T02:11:44,3197
2020-06-09T02:12:49,3200
2020-06-09T02:13:54,3197
2020-06-09T02:15:00,3199
2020-06-09T02:16:05,3198
2020-06-09T02:17:11,3198
2020-06-09T02:18:16,3196
2020-06-09T02:19:21,3195
2020-06-09T02:20:26,3197
2020-06-09T02:21:32,3196
2020-06-09T02:22:37,3196
2020-06-09T02:23:42,3194
2020-06-09T02:24:47,3194
2020-06-09T02:25:53,3195
2020-06-09T02:26:58,3195
