date,value
2020-06-09T00:28:13,645273
2020-06-09T00:29:18,646297
2020-06-09T00:30:24,646662
2020-06-09T00:31:29,648386
2020-06-09T00:32:34,648858
2020-06-09T00:33:40,648024
2020-06-09T00:34:45,648163
2020-06-09T00:35:50,647652
2020-06-09T00:36:56,639206
2020-06-09T00:38:01,639815
2020-06-09T00:39:06,648068
2020-06-09T00:40:11,647698
2020-06-09T00:41:17,648302
2020-06-09T00:42:22,648348
2020-06-09T00:43:27,648674
2020-06-09T00:44:33,643891
2020-06-09T00:45:38,644401
2020-06-09T00:46:43,645702
2020-06-09T00:47:48,646815
2020-06-09T00:48:54,646907
2020-06-09T00:49:59,647463
2020-06-09T00:51:05,646764
2020-06-09T00:52:10,647508
2020-06-09T00:53:15,647371
2020-06-09T00:54:20,647463
2020-06-09T00:55:26,647648
2020-06-09T00:56:31,646946
2020-06-09T00:57:36,647363
2020-06-09T00:58:41,645923
2020-06-09T00:59:47,646854
2020-06-09T01:00:52,646250
2020-06-09T01:01:57,645879
2020-06-09T01:03:03,645369
2020-06-09T01:04:08,646111
2020-06-09T01:05:13,645556
2020-06-09T01:06:18,645788
2020-06-09T01:07:24,646204
2020-06-09T01:08:29,645413
2020-06-09T01:09:35,645926
2020-06-09T01:10:40,645602
2020-06-09T01:11:45,645557
2020-06-09T01:12:51,644862
2020-06-09T01:13:58,644631
2020-06-09T01:15:05,644445
2020-06-09T01:16:11,644351
2020-06-09T01:17:17,644629
2020-06-09T01:18:22,644906
2020-06-09T01:19:27,644767
2020-06-09T01:20:33,645419
2020-06-09T01:21:38,645095
2020-06-09T01:22:43,645187
2020-06-09T01:23:49,645187
2020-06-09T01:24:54,645280
2020-06-09T01:25:59,643737
2020-06-09T01:27:05,644856
2020-06-09T01:28:10,645695
2020-06-09T01:29:15,645833
2020-06-09T01:30:20,645788
2020-06-09T01:31:26,646626
2020-06-09T01:32:31,645790
2020-06-09T01:33:36,645790
2020-06-09T01:34:42,645326
2020-06-09T01:35:47,646020
2020-06-09T01:36:54,645834
2020-06-09T01:37:59,645834
2020-06-09T01:39:05,645742
2020-06-09T01:40:10,645600
2020-06-09T01:41:15,646159
2020-06-09T01:42:20,646158
2020-06-09T01:43:26,647044
2020-06-09T01:44:31,647000
2020-06-09T01:45:36,645326
2020-06-09T01:46:42,644860
2020-06-09T01:47:47,644628
2020-06-09T01:48:52,644583
2020-06-09T01:49:57,644905
2020-06-09T01:51:03,644719
2020-06-09T01:52:08,645230
2020-06-09T01:53:13,645184
2020-06-09T01:54:19,645137
2020-06-09T01:55:24,645184
2020-06-09T01:56:29,642897
2020-06-09T01:57:35,643640
2020-06-09T01:58:40,644854
2020-06-09T01:59:45,645691
2020-06-09T02:00:51,645691
2020-06-09T02:01:56,645507
2020-06-09T02:03:01,644813
2020-06-09T02:04:07,644860
2020-06-09T02:05:12,644253
2020-06-09T02:06:17,644858
2020-06-09T02:07:22,644996
2020-06-09T02:08:28,645275
2020-06-09T02:09:33,645181
2020-06-09T02:10:38,645275
2020-06-09T02:11:44,644673
2020-06-09T02:12:49,644765
2020-06-09T02:13:54,645045
2020-06-09T02:15:00,644581
2020-06-09T02:16:05,644674
2020-06-09T02:17:11,644626
2020-06-09T02:18:16,644859
2020-06-09T02:19:21,644627
2020-06-09T02:20:27,644811
2020-06-09T02:21:32,645045
2020-06-09T02:22:37,645045
2020-06-09T02:23:42,645411
2020-06-09T02:24:48,647225
2020-06-09T02:25:53,647128
2020-06-09T02:26:58,647874
